A,participant_id,age,gender,reaction_time,stimuli_id,condition,pause_length,pause_onset,pause_type,stimuli_length,stimuli_onset,replaced,target,handedness,silent
203,4,24,man,0.789008006999893,109,exp2,0.393287999999984,1.50058899999999,silent,0.670476000000008,1.90984100000003,öh,teknologi,90,True
205,4,24,man,0.779281455999922,117,exp2,0.626938999999993,1.45705200000009,silent,0.809796000000006,2.31038599999999,ehm,teknologi,90,True
206,4,24,man,0.840491747999977,103,exp2,0.428844000000026,1.57895700000006,öh,0.518095000000017,2.06367399999999,silence,fordon,90,False
207,4,24,man,1.04129325099996,104,exp2,0.465850000000046,2.65142900000001,silent,0.700951999999916,3.1274380000001,öh,fordon,90,True
210,4,24,man,0.953595366999992,93,exp2,0.448436000000015,0.904852000000005,silent,0.53115600000001,1.364172,öh,djur,90,True
211,4,24,man,0.99166109600003,97,exp2,0.563084000000004,2.08979599999998,silent,0.650159000000031,2.73124699999994,ehm,djur,90,True
212,4,24,man,0.700410807000026,98,exp2,0.484353999999939,2.512834,ehm,0.766257999999993,3.17242599999997,silence,djur,90,False
213,4,24,man,0.596346176999986,92,exp2,0.417958999999996,3.45396899999997,silent,0.754647999999975,3.92997800000001,öh,djur,90,True
214,4,24,man,0.776971966000132,112,exp2,0.370794000000046,1.79156499999999,öh,0.621134000000097,2.24943299999995,silence,teknologi,90,False
215,4,24,man,1.016152879,91,exp2,0.399092999999994,1.36852599999997,öh,0.595011999999997,1.83873,silence,djur,90,False
216,4,24,man,0.961594152999964,99,exp2,0.920090999999957,2.25378699999999,ehm,0.95201899999995,3.27256199999999,silence,djur,90,False
217,4,24,man,0.793114628000012,95,exp2,0.588842999999997,2.20589599999994,ehm,1.11492099999998,2.79473899999994,silence,djur,90,False
218,4,24,man,0.748072272000059,107,exp2,0.387483000000088,2.05841299999997,ehm,0.544944000000101,2.71020399999998,silence,fordon,90,False
219,4,24,man,0.787137583000004,100,exp2,0.345397000000048,2.20734700000003,öh,0.682087000000024,2.56290200000001,silence,fordon,90,False
220,5,26,kvinna,1.03725650698807,23,exp1,0.674537000000001,2.556882,silent,0.342565999999991,3.231419,ehm,unket,100,True
221,5,26,kvinna,0.646343644001462,26,exp1,0.590440000000001,1.542429,ehm,0.347864000000016,2.140815,silence,skulle,100,False
222,5,26,kvinna,0.431187156972859,2,exp1,0.325348999999999,2.396838,silent,0.282970000000001,2.722187,öh,som,100,True
223,5,26,kvinna,0.399562074037248,120,exp1,0.349036000000069,0.916218999999956,öh,0.142923999999994,1.27127300000007,silence,känner,100,False
224,5,26,kvinna,0.519375512004153,12,exp1,0.358458999999996,1.09435600000001,silent,0.155391000000002,1.744172,öh,vad,100,True
225,5,26,kvinna,0.45508408798159,13,exp1,0.400836999999996,2.51097200000001,öh,0.188940000000002,2.92593600000001,silence,knappt,100,False
226,5,26,kvinna,0.469169513001517,10,exp1,0.614498999999995,1.875283,öh,0.868774999999999,2.81469,silence,nycklar,100,False
227,5,26,kvinna,0.457086301024234,19,exp1,0.596841999999995,2.797032,ehm,0.20306699999999,3.63755500000001,silence,men,100,False
228,5,26,kvinna,0.359185826003916,11,exp1,0.448514000000003,2.708742,silent,0.370818,3.203167,öh,lära,100,True
229,5,26,kvinna,0.397833712997283,28,exp1,0.653346999999997,2.21431699999999,ehm,0.522677000000016,2.895917,silence,kanske,100,False
230,5,26,kvinna,0.371124007036917,3,exp1,0.442631,2.499047,silent,0.374421,2.947483,öh,mitt,100,True
231,5,26,kvinna,0.384059422004171,21,exp1,0.678069000000008,3.05130799999999,silent,0.490893999999997,3.79471099999999,ehm,suger,100,True
232,5,26,kvinna,0.407877028955312,7,exp1,0.327556000000001,2.509206,öh,0.554462000000001,2.842501,silence,igår,100,False
233,5,26,kvinna,0.483664255018041,16,exp1,0.575652000000005,3.728825,ehm,0.761612999999997,4.391001,silence,regelbundet,100,False
236,5,26,kvinna,0.448975011006525,9,exp1,0.406134000000002,1.825841,silent,0.466172,2.281418,öh,tiden,100,True
237,5,26,kvinna,0.41251719895215,1,exp1,0.436153,1.904419,silent,0.446749,2.363527,öh,träffa,100,True
238,5,26,kvinna,0.377009452971322,22,exp1,0.625095000000002,2.60985700000001,silent,0.448514000000003,3.33030500000001,ehm,trots,100,True
239,5,26,kvinna,0.654095781044226,6,exp1,0.37435,2.562181,öh,0.577417999999998,2.950657,silence,med,100,False
240,5,26,kvinna,0.548009941994821,17,exp1,0.734574000000009,3.136067,silent,0.897028000000006,4.146106,ehm,nonchalant,100,True
241,5,26,kvinna,0.864710472012206,24,exp1,0.621563000000009,2.67342600000001,silent,0.616265000000027,3.32147599999999,ehm,pastasalladen,100,True
